id,mark,model,year,price
3560526-c0860511,HONDA,VFR_1200X_XD,2017,11401
3521506-ce9ebc4d,HONDA,CRF450,2017,5830
3584608-1fc026bd,HONDA,VFR_1200,2017,12567
3559964-b0e9894f,HONDA,CRF_250L,2017,5053
3167546-14e7adff,HONDA,CBR_1000_RR,2017,11530
3538334-d6b33ca0,HONDA,CRF_1000L_AFRICA_TWIN,2017,11660
3581936-49deee5e,HONDA,CBR_600_RR,2017,9457
3514996-8ef0f690,HONDA,VFR_1200X_XD,2017,10950
3608450-36581af7,HONDA,CRF450,2017,5182
3593232-7a67c27a,HONDA,CB_1100,2017,9457
3609134-23b59ce4,HONDA,NC_750,2017,6024
3600364-f20a4696,HONDA,CRF450,2017,5830
3534790-3016553e,HONDA,CBR_600_RR,2017,9587
3627510-44b5caf1,HONDA,CBR_1000_RR,2017,12049
3625936-8596518d,HONDA,CRF_1000L_AFRICA_TWIN,2017,10947
3621046-82a606e8,HONDA,FURY,2017,10841
3617456-a8743422,HONDA,CRF_1000L_AFRICA_TWIN,2017,9069
3620384-c7b63a0f,HONDA,CRF_1000L_AFRICA_TWIN,2017,10921
3619692-11900947,HONDA,NC_750_X,2017,8097
3619378-e3e677bd,HONDA,NC_750_X,2017,7449
3619158-ab793f22,HONDA,NC_750_X,2017,6283
3619484-ce705f2e,HONDA,NC_750_X,2017,6802
3619580-9f2f80ff,HONDA,CRF_1000L_AFRICA_TWIN,2017,10235
3619478-62f43f66,HONDA,CRF_1000L_AFRICA_TWIN,2017,10688
3613452-26364f95,HONDA,CBR_1000_RR,2017,14806
3614916-f8721958,HONDA,CRF_1000L_AFRICA_TWIN,2017,7385
3610324-acced865,HONDA,VT_750,2017,4755
3589318-bf1288ef,HONDA,CBR_1000_RR,2017,14251
3562836-1337f8fc,HONDA,NC_750,2017,7773
3596032-c0e5e708,HONDA,VT_750,2017,8239
3590008-59263287,HONDA,CRF_1000L_AFRICA_TWIN,2017,13321
3223454-45c2bdf0,HONDA,CRF_1000L_AFRICA_TWIN,2017,8291
3223490-2d152ad8,HONDA,CRF_1000L_AFRICA_TWIN,2017,8680
3590687-25d061d0,HONDA,CRF_1000L_AFRICA_TWIN,2017,9328
3590693-cc6e9076,HONDA,CRF_1000L_AFRICA_TWIN,2017,10170
3513460-cc750c83,HONDA,VT_750,2017,4521
3377186-c3244f62,HONDA,CBR_1000_RR,2017,11012
3386024-80a4ac42,HONDA,CBR_600_RR,2017,7976
3596850-064fcbc6,HONDA,GL_1800,2017,23164
3590150-39afc895,HONDA,CRF_250_RALLY,2017,4534
3624672-cfccf606,HONDA,CRF_1000L_AFRICA_TWIN,2016,9393
3624672-cfccf606,HONDA,CRF_1000L_AFRICA_TWIN,2016,9393
3621302-1a3a5c81,HONDA,CB_1100,2016,9198
3619054-8f625e7c,HONDA,CRF_1000L_AFRICA_TWIN,2016,9224
3550380-84a5bc04,HONDA,CRF_1000L_AFRICA_TWIN,2016,9717
3550380-84a5bc04,HONDA,CRF_1000L_AFRICA_TWIN,2016,9717
3557012-e489afda,HONDA,CRF_1000L_AFRICA_TWIN,2016,9069
3458980-2a1776f9,HONDA,VFR_1200,2016,11660
3113538-2ed3a07c,HONDA,CTX_700,2016,5441
3407638-e71320ab,HONDA,VFR,2016,8421
3503998-2c197b37,HONDA,VFR,2016,8032
3475090-673d427d,HONDA,GL_1800,2016,18138
3532418-8bb3c2a4,HONDA,CRF_1000L_AFRICA_TWIN,2016,9198
3544672-dee70528,HONDA,CRF_1000L_AFRICA_TWIN,2016,11854
3516642-1fbe2082,HONDA,CRF_1000L_AFRICA_TWIN,2016,10170
3624954-303efa61,HONDA,VFR,2016,7126
3469778-f19398e2,HONDA,VFR,2016,8019
3600892-752aa9e9,HONDA,NC_750,2016,6439
3560246-1900737e,HONDA,GL_1800,2016,11919
3309742-48e4846e,HONDA,GL_1800,2016,16842
3574922-19b198fe,HONDA,VT_750,2016,6543
3581972-a05c97ce,HONDA,VFR,2016,8745
3552316-fdd5ebec,HONDA,CBR_650_F,2016,5182
3518612-fb239b6f,HONDA,CRF_1000L_AFRICA_TWIN,2016,10611
3554120-055758d8,HONDA,VFR,2016,11012
3555356-93108a45,HONDA,CRF_1000L_AFRICA_TWIN,2016,9846
3537360-921042af,HONDA,CRF_1000L_AFRICA_TWIN,2016,9717
3482216-093d7ae9,HONDA,CTX_700,2016,5200
3556182-d58c4446,HONDA,CB_1100,2016,7773
3484602-c46e19be,HONDA,NC_750_X,2016,5830
3574190-45718a48,HONDA,CTX_700,2016,5687
3090675-7aaa3d53,HONDA,CBR_600_RR,2016,7644
3389868-62beecdf,HONDA,NC_750_X,2016,7773
3474054-0353608e,HONDA,CBR_650_F,2016,5650
3562610-0641f0a3,HONDA,CBR_1000_RR,2016,9652
3597410-2b56f383,HONDA,NC_750,2016,5985
2889541-dc070d18,HONDA,GL_1800,2016,18138
3488956-8125f739,HONDA,NC_750,2016,6737
3593468-5de9aa56,HONDA,CTX_700,2016,6300
3413048-5e5547ff,HONDA,FURY,2016,7644
3584978-996c6897,HONDA,CBR_1000_RR,2016,7903
2843053-113cbf03,HONDA,VFR_1200X_XD,2016,12308
3561272-fb6409c5,HONDA,CBR_400,2016,3757
3496793-dc0998e7,HONDA,GL_1800,2016,18138
3160918-746287b5,HONDA,VFR_1200X_XD,2016,10364
3587414-5846e667,HONDA,CBR_1000_RR,2016,9069
3540968-679a2e8c,HONDA,CTX_700,2016,5830
3575858-1afefd07,HONDA,CBR_1000_RR,2016,8421
3569790-6b1a6a78,HONDA,CBR_650_F,2016,5441
3557874-5045831e,HONDA,CBR_500_R,2016,5104
3361868-fde31c54,HONDA,VT_750,2016,5960
3626200-779ccf59,HONDA,CRF450,2016,4470
3504220-3b29af8b,HONDA,CRF450,2016,4400
3522154-711ccd4f,HONDA,VFR,2016,9069
3617462-6ece94fe,HONDA,CRF_1000L_AFRICA_TWIN,2016,7773
3619164-572065dd,HONDA,VFR,2016,7709
3615142-3c2a6bb7,HONDA,CBR_1000_RR,2016,12046
3614512-28f04557,HONDA,CBR_600_RR,2016,10235
3612710-00cfabaf,HONDA,CBR_650_F,2016,5182
3605226-7547df27,HONDA,VFR_1200,2016,13877
3589864-46b5e5dc,HONDA,CRF_1000L_AFRICA_TWIN,2016,12566
3590727-99e9259f,HONDA,FURY,2016,10474
3589880-9ae1b908,HONDA,CRF_1000L_AFRICA_TWIN,2016,12566
3223482-0b6b9e34,HONDA,CRF_1000L_AFRICA_TWIN,2016,7514
3550886-f2cf8b96,HONDA,CRF_1000L_AFRICA_TWIN,2016,10753
3593980-cc67d03f,HONDA,GL_1800,2016,11530
3590701-2d997a8a,HONDA,CRF_1000L_AFRICA_TWIN,2016,9781
3594044-3e50476d,HONDA,GL_1800,2016,10883
3590673-04ffee51,HONDA,CRF_1000L_AFRICA_TWIN,2016,9976
3626942-e33ef1df,HONDA,GL_1800,2015,13992
3625948-7439ed6f,HONDA,NC_750,2015,4858
3625384-6ad1b75d,HONDA,NC_750_X,2015,7773
3625046-bdc9f54e,HONDA,NC_750_X,2015,5765
3624768-422bfe64,HONDA,CB_1100,2015,9717
3626942-e33ef1df,HONDA,GL_1800,2015,13992
3625948-7439ed6f,HONDA,NC_750,2015,4858
3625384-6ad1b75d,HONDA,NC_750_X,2015,7773
3625046-bdc9f54e,HONDA,NC_750_X,2015,5765
3624768-422bfe64,HONDA,CB_1100,2015,9717
3628314-2ab87f42,HONDA,CRF450,2015,3368
3622014-b2cdde12,HONDA,CB_1100,2015,7773
3620578-dd754a0e,HONDA,GL_1800,2015,21765
3618896-532d9021,HONDA,CBR_650_F,2015,5299
3618822-3ed9af87,HONDA,VFR_800X_CROSSRUNNER,2015,8421
3618416-4507ce43,HONDA,CBR_650_F,2015,6348
3618402-24a08dc6,HONDA,NC_750_X,2015,4858
3618582-4bde1a40,HONDA,VFR_800X_CROSSRUNNER,2015,7968
3618440-a7100d75,HONDA,CBR_400,2015,4081
3619686-17dc2521,HONDA,GL_1800,2015,15417
3618786-95aa24d4,HONDA,NC_750_X,2015,5765
3618738-20aff2b2,HONDA,NC_750_X,2015,6154
3618636-1aa5c6b6,HONDA,CBR_650_F,2015,6154
3618498-9b2a9ee0,HONDA,CB_650_F,2015,6348
3610496-17624658,HONDA,NC_750_X,2015,6180
3627796-302a4445,HONDA,CRF_250R,2015,4534
3614646-2a814240,HONDA,CRF_450,2015,5765
2972292-86501503,HONDA,CBR_1000_RR,2015,9717
2972292-86501503,HONDA,CBR_1000_RR,2015,9717
3319194-d9da3112,HONDA,VTX1300,2015,7981
3569072-0db782d4,HONDA,VFR_1200,2015,12308
3442282-b5bad95e,HONDA,NC_750_X,2015,5441
3285256-e22d0b9b,HONDA,CBR_300,2015,5100
3544730-4566b38e,HONDA,CTX_700,2015,5182
3109224-f0409a36,HONDA,VT_1300,2015,4988
3520550-7ae9b235,HONDA,NC_750,2015,5571
3319194-d9da3112,HONDA,VTX1300,2015,7700
3474444-dbe508f4,HONDA,CB_1100,2015,9717
3593340-7f6fe9ed,HONDA,NC_750_X,2015,6283
3411192-0db0ba80,HONDA,VFR_800X_CROSSRUNNER,2015,7190
3533534-a074aaeb,HONDA,CBR_650_F,2015,6089
3598134-1d3a048e,HONDA,CBR_650_F,2015,6724
3521722-c92d35fd,HONDA,NC_750,2015,5895
3598274-10b51683,HONDA,CBR_600_RR,2015,8421
3485100-8c2a553d,HONDA,CBR_650_F,2015,6763
3069196-d72baa93,HONDA,CB_650_F,2015,5571
3255232-48c7c4e6,HONDA,NC_750,2015,5312
3560714-bb4ffaa3,HONDA,NM4,2015,6802
3538904-5c4ab2f5,HONDA,GL_1800,2015,10364
3600204-1b78fb39,HONDA,CBR_650_F,2015,6931
3599202-f8bad4c8,HONDA,NC_750_X,2015,6245
3069024-bdd8cba7,HONDA,CBR_1000_RR,2015,11401
3556668-027c3e5c,HONDA,NC_750,2015,5571
3202146-306802ee,HONDA,NC_750,2015,5700
3579212-b270b1ab,HONDA,NC_750_X,2015,5960
3597442-26bc6f98,HONDA,NC_750_X,2015,6154
3592204-0bd9812d,HONDA,NC_750,2015,5830
3162466-0a3efaab,HONDA,ST_1300,2015,8499
3399752-99d230d2,HONDA,VFR_1200X_XD,2015,12295
3608876-30cff520,HONDA,VFR_800X_CROSSRUNNER,2015,9976
3171562-f3d4cf45,HONDA,NC_750,2015,5247
3599178-ac0afebf,HONDA,VFR,2015,7773
3595574-95cb9f23,HONDA,VFR,2015,7449
3498718-58c7d280,HONDA,CBR_650_F,2015,6089
3378466-33bbe12f,HONDA,VFR_1200,2015,11012
3339456-182f1e9c,HONDA,VFR,2015,6413
3585798-51164ab8,HONDA,VT_750,2015,6024
3414044-9958828d,HONDA,NC_750_X,2015,6296
3591702-e3258be0,HONDA,VFR_800X_CROSSRUNNER,2015,8356
3355284-d7e5454a,HONDA,CBR_650_F,2015,6476
3579248-72cb6693,HONDA,CTX_700,2015,5117
3553430-3e0f77c6,HONDA,VFR,2015,7514
3414132-ef02eccf,HONDA,NC_750,2015,5972
3590821-e826d848,HONDA,VT_750,2015,6866
2687001-fca3ba09,HONDA,GL_1800,2015,21765
2967794-4601054a,HONDA,NC_750,2015,4910
3610102-0971978a,HONDA,VFR_1200X_XD,2015,11012
3122280-8bd101bc,HONDA,VFR_800X_CROSSRUNNER,2015,8291
3477742-019b3de3,HONDA,CB_1300,2015,8421
3568346-9706c9a7,HONDA,VFR_800X_CROSSRUNNER,2015,10364
3193932-c7e0e370,HONDA,NC_750,2015,5649
3376622-be4a3c06,HONDA,NC_750_X,2015,5791
3565298-f6888636,HONDA,CBR_650_F,2015,7100
3603608-71d913f3,HONDA,NC_750_X,2015,6439
3604736-c3580017,HONDA,CBR_1000_RR,2015,9717
